"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007389","GO:0007389","pattern specification process","21/105","372/11564",1.39379982461132e-11,3.16671320151692e-08,2.62767945881987e-08,"LHX2/ERBB4/WNT8B/FEZF2/ARMC4/FEZF1/SFRP2/NKX6-2/WNT6/PAX6/ROBO2/SIX3/CELSR2/SP8/WNT7B/ZBTB16/ZIC1/LMX1B/EN1/WNT1/PAX7",21
"GO:0045165","GO:0045165","cell fate commitment","14/105","217/11564",8.97827680204627e-09,5.09966122356228e-06,4.2316036190697e-06,"ERBB4/WNT8B/FEZF2/SFRP2/NKX6-2/WNT6/PAX6/NR2E1/OLIG2/WNT7B/BARHL2/WNT1/PAX7/SOX2",14
"GO:0010721","GO:0010721","negative regulation of cell development","14/105","269/11564",1.34121892300005e-07,4.35321341865158e-05,3.61221517457606e-05,"LHX2/LINGO1/FRZB/ERBB4/FEZF2/CAV3/NKX6-2/PAX6/SOX10/NR2E1/OLIG2/SIX3/NLGN1/SOX2",14
"GO:0072089","GO:0072089","stem cell proliferation","7/105","96/11564",2.55647204836898e-05,0.00341664970229078,0.00283507209822219,"SFRP2/PAX6/SOX10/NR2E1/SIX3/WNT7B/WNT1",7
"GO:0001764","GO:0001764","neuron migration","8/105","135/11564",3.01925459555935e-05,0.00361039286374255,0.00299583655437495,"ERBB4/ASTN1/FEZF2/FEZF1/ADGRL3/PAX6/BARHL2/BARHL1",8
"GO:1905114","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling","15/105","498/11564",4.10048661771783e-05,0.00465815279772745,0.00386524817491191,"FRZB/GLRA1/WNT8B/SFRP2/RYR2/WNT6/GRIN2B/SOX10/SIX3/CELSR2/WNT7B/NLGN1/WNT1/CAV1/SOX2",15
"GO:2000179","GO:2000179","positive regulation of neural precursor cell proliferation","5/105","46/11564",5.7187080016107e-05,0.00615327754306657,0.0051058747589104,"LHX2/PAX6/SOX10/NR2E1/RASSF10",5
"GO:2000177","GO:2000177","regulation of neural precursor cell proliferation","6/105","76/11564",6.34190798362357e-05,0.00615327754306657,0.0051058747589104,"LHX2/PAX6/SOX10/NR2E1/SIX3/RASSF10",6
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","9/105","195/11564",6.82579129599175e-05,0.00615327754306657,0.0051058747589104,"GRIA1/KCNIP2/CAV3/RYR2/GRIN2B/CRHBP/CACNG4/NLGN1/CAV1",9
"GO:1900449","GO:1900449","regulation of glutamate receptor signaling pathway","5/105","51/11564",9.45402364552221e-05,0.00767126490093803,0.00636547231170312,"GRIA1/GRIN2B/CRHBP/CACNG4/NLGN1",5
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","10/105","259/11564",0.000118866527720735,0.00855551075539639,0.00709920300357438,"LINGO1/FEZF2/LRRC4C/ITPKA/NR2E1/ROBO2/XK/SRCIN1/BARHL2/NLGN1",10
"GO:0150063","GO:0150063","visual system development","11/105","312/11564",0.000120500151484456,0.00855551075539639,0.00709920300357438,"LHX2/WNT6/PAX6/TFAP2A/NR2E1/TFAP2B/SIX3/WNT7B/SOX2/PRSS56/GRHL2",11
"GO:0007610","GO:0007610","behavior","14/105","490/11564",0.000132643038104935,0.00865266603461151,0.00717982063935749,"GRIA1/GLRA1/ASTN1/FEZF2/ADGRL3/GRIN2B/RASD2/CRHBP/NR2E1/PAX5/SIX3/ZIC1/NLGN1/EN1",14
"GO:0032409","GO:0032409","regulation of transporter activity","9/105","213/11564",0.000134171132920335,0.00865266603461151,0.00717982063935749,"GRIA1/KCNIP2/CAV3/RYR2/GRIN2B/CRHBP/CACNG4/NLGN1/CAV1",9
"GO:0086005","GO:0086005","ventricular cardiac muscle cell action potential","4/105","30/11564",0.000146657934654842,0.00865266603461151,0.00717982063935749,"KCND3/CAV3/RYR2/CAV1",4
"GO:0061351","GO:0061351","neural precursor cell proliferation","7/105","128/11564",0.000159960531141528,0.00882884535398752,0.00732601094745721,"LHX2/PAX6/SOX10/NR2E1/SIX3/RASSF10/WNT1",7
"GO:0086001","GO:0086001","cardiac muscle cell action potential","5/105","60/11564",0.000206042602798746,0.00975268319914062,0.00809259433360862,"KCND3/KCNIP2/CAV3/RYR2/CAV1",5
"GO:0007600","GO:0007600","sensory perception","12/105","398/11564",0.000253615584016553,0.0105186190307371,0.00872815357859998,"PRDM12/GLRA1/OTOGL/PAX6/TFAP2A/NR2E1/SIX3/ZIC2/RETREG1/BARHL1/ADGRV1/MC1R",12
"GO:0010975","GO:0010975","regulation of neuron projection development","12/105","415/11564",0.000371173468245905,0.0131766581227296,0.0109337447636253,"LINGO1/FEZF2/LRRC4C/ITPKA/SFRP2/NR2E1/ROBO2/XK/SRCIN1/ITGA6/BARHL2/NLGN1",12
"GO:0198738","GO:0198738","cell-cell signaling by wnt","12/105","420/11564",0.000413502887072636,0.0142345236277126,0.0118115417981992,"FRZB/WNT8B/SFRP2/RYR2/WNT6/SOX10/SIX3/CELSR2/WNT7B/WNT1/CAV1/SOX2",12
"GO:1904886","GO:1904886","beta-catenin destruction complex disassembly","3/105","17/11564",0.000450910598681586,0.014768138621134,0.0122543255515432,"WNT8B/WNT1/CAV1",3
"GO:0086009","GO:0086009","membrane repolarization","4/105","40/11564",0.000456169503983403,0.014768138621134,0.0122543255515432,"KCND3/KCNIP2/CAV3/CAV1",4
